ID,bars,kpi,State,Selisih,Position,Tahun
11,83,83,tetap,1,6,2021
11,98,78,tetap,2,6,2022
11,68,61,tetap,3,6,2023
11,76,69,tetap,4,6,2024
11,73,88,tetap,5,6,2025
12,99,88,promosi,1,6,2021
12,67,96,tetap,1,5,2022
12,95,63,tetap,2,5,2023
12,90,95,promosi,3,5,2024
12,66,72,tetap,1,4,2025
13,76,63,tetap,1,6,2021
13,94,70,tetap,2,6,2022
13,96,79,tetap,3,6,2023
13,83,94,tetap,4,6,2024
13,67,88,tetap,5,6,2025
14,99,65,tetap,1,5,2021
14,96,92,promosi,2,5,2022
14,81,79,tetap,1,4,2023
14,95,64,tetap,2,4,2024
14,86,83,tetap,3,4,2025
15,88,71,tetap,1,5,2021
15,63,99,tetap,2,5,2022
15,97,61,tetap,3,5,2023
15,71,66,tetap,4,5,2024
15,100,79,tetap,5,5,2025
16,64,67,tetap,1,5,2021
16,67,61,tetap,2,5,2022
16,98,72,tetap,3,5,2023
16,78,75,tetap,4,5,2024
16,73,72,tetap,5,5,2025
17,68,78,tetap,1,5,2021
17,69,88,tetap,2,5,2022
17,68,92,tetap,3,5,2023
17,83,81,tetap,4,5,2024
17,97,83,tetap,5,5,2025
18,100,83,tetap,1,5,2021
18,93,90,promosi,2,5,2022
18,64,77,tetap,1,4,2023
18,88,88,promosi,2,4,2024
18,75,91,tetap,1,3,2025
19,79,99,tetap,1,6,2021
19,98,75,tetap,2,6,2022
19,94,97,promosi,3,6,2023
19,71,74,tetap,1,5,2024
19,90,73,tetap,2,5,2025
20,74,68,tetap,1,6,2021
20,98,93,promosi,2,6,2022
20,61,79,tetap,1,5,2023
20,76,87,tetap,2,5,2024
20,90,90,promosi,3,5,2025
21,99,94,promosi,1,6,2021
21,97,79,tetap,1,5,2022
21,76,91,tetap,2,5,2023
21,79,93,tetap,3,5,2024
21,100,63,tetap,4,5,2025
22,98,76,tetap,1,5,2021
22,80,73,tetap,2,5,2022
22,80,70,tetap,3,5,2023
22,92,84,tetap,4,5,2024
22,60,65,mutasi,5,5,2025
23,99,84,tetap,1,6,2021
23,60,97,tetap,2,6,2022
23,73,62,tetap,3,6,2023
23,78,86,tetap,4,6,2024
23,62,81,tetap,5,6,2025
24,87,94,promosi,1,7,2021
24,83,64,tetap,1,6,2022
24,89,67,tetap,2,6,2023
24,91,81,tetap,3,6,2024
24,83,97,tetap,4,6,2025
25,71,79,tetap,1,6,2021
25,63,91,tetap,2,6,2022
25,75,86,tetap,3,6,2023
25,89,96,promosi,4,6,2024
25,60,75,tetap,1,5,2025
26,93,97,promosi,1,6,2021
26,87,76,tetap,1,5,2022
26,76,61,tetap,2,5,2023
26,72,83,tetap,3,5,2024
26,67,79,tetap,4,5,2025
27,80,63,tetap,1,6,2021
27,84,71,tetap,2,6,2022
27,79,100,tetap,3,6,2023
27,66,87,tetap,4,6,2024
27,77,68,tetap,5,6,2025
28,90,72,tetap,1,5,2021
28,86,78,tetap,2,5,2022
28,86,86,promosi,3,5,2023
28,86,86,promosi,4,4,2024
28,75,86,tetap,1,3,2025
29,68,70,tetap,1,6,2021
29,94,73,tetap,2,6,2022
29,77,66,tetap,3,6,2023
29,93,79,tetap,4,6,2024
29,73,63,tetap,5,6,2025
30,75,63,tetap,1,7,2021
30,91,85,promosi,2,7,2022
30,94,81,tetap,1,6,2023
30,69,93,tetap,2,6,2024
30,62,74,tetap,3,6,2025
31,64,84,tetap,1,7,2021
31,87,80,tetap,2,7,2022
31,68,98,tetap,3,7,2023
31,89,89,promosi,4,7,2024
31,93,63,tetap,1,6,2025
32,86,88,promosi,1,5,2021
32,83,81,tetap,1,4,2022
32,60,64,mutasi,2,4,2023
32,74,92,tetap,1,5,2024
32,69,92,tetap,2,5,2025
33,72,65,tetap,1,5,2021
33,94,65,tetap,2,5,2022
33,65,89,tetap,3,5,2023
33,89,64,tetap,4,5,2024
33,63,78,tetap,5,5,2025
34,77,89,tetap,1,7,2021
34,89,62,tetap,2,7,2022
34,92,77,tetap,3,7,2023
34,84,68,tetap,4,7,2024
34,75,65,tetap,5,7,2025
35,67,65,tetap,1,5,2021
35,93,79,tetap,2,5,2022
35,64,91,tetap,3,5,2023
35,95,82,tetap,4,5,2024
35,86,81,tetap,5,5,2025
36,62,93,tetap,1,6,2021
